TITRE,DESCRIPTION,PRIX,CODE_DEVISE,QUANTITÉ,TAGS,MATÉRIAUX,"IMAGE 1","IMAGE 2","IMAGE 3","IMAGE 4","IMAGE 5","IMAGE 6","IMAGE 7","IMAGE 8","IMAGE 9","IMAGE 10","TYPE VARIATION 1","NOM VARIATION 1","VALEURS VARIATION 1","TYPE VARIATION 2","NOM VARIATION 2","VALEURS VARIATION 2",RÉFÉRENCE
"Replacement Cover - Sonic Spinball (PAL Version) - SEGA Megadrive Classic Reproduction Game Cover - High Quality Print","Sonic the Hedgehog Spinball, also known as Sonic Spinball, is a 1993 pinball video game developed by Sega Technical Institute and published by Sega for the Sega Genesis. It is a spin-off of the Sonic the Hedgehog series. Players control Sonic the Hedgehog, who must stop Doctor Robotnik from enslaving the population in a giant pinball-like mechanism. The game is set in a series of pinball machine-like environments with Sonic acting as the pinball.

It was developed by the American staff of Sega Technical Institute, as the Japanese staff was occupied with developing Sonic the Hedgehog 3 and Sonic & Knuckles. When Sega management realized that Sonic 3 would not be completed in time for the 1993 holiday shopping season, they commissioned another Sonic game. After a hasty nine-month[5] development, Sonic Spinball was released for the Sega Genesis in November 1993, with ports for the Game Gear and Master System releasing in 1994.

 ★ DESCRIPTION
This replacement cover is restored and reproduced (on professional software, such as Adobe Indesign and Photoshop) for your Consoles

★ DIMENSION
(original jacket dimension)

★ IMPRESSION
Printed in high definition in 300ppp and on a professional digital printer.

★ MATTER
Printed on 120g/m2 semi-gloss paper.

★ SEND
Covers are sent in a sturdy cardboard envelope
Covers Are Folded Ready To Put Into Your Case

The items we sell are not official Sega products or its affiliates.",7.49,EUR,5,"segacover,megadrivecover,cover,paper,sega_megadrive_covers,sega_covers,Sega_Replacement_Game_Covers,High_Quality_Print,Sends_Fast_Worldwide,Sent_Sturdy_Cardboard_Envelope,boite_repro_megadrive,megadrive_reproduction_box,Sonic_Spinball_Sega_Cover",paper,https://i.etsystatic.com/37233584/r/il/9882de/6956522551/il_fullxfull.6956522551_gzxp.jpg,https://i.etsystatic.com/37233584/r/il/d3d616/4803969045/il_fullxfull.4803969045_ocq6.jpg,,,,,,,,,,,,,,,MD-SPINBALL-PAL
"Replacement Cover - Alex Kidd In Miracle World (PAL Version) - SEGA Master System Classic Reproduction Game Cover -  - High Quality Print","Alex Kidd in Miracle World (アレックスキッドのミラクルワールド) is a video game released in 1986 by Sega for the Sega Master System console. It is the first of several games in the Alex Kidd series, starring a character which would serve as the company's mascot for half a decade before being replaced by Sonic the Hedgehog.

Alex Kidd in Miracle World stands as one of the more popular Master System releases, having been built into many Master System consoles during the late 1980s and early 1990s. It is also one of the few Master System games to have an official Korean translation. Alex Kidd in the Enchanted Castle may be considered a direct sequel to this game, as it continues the story of Alex's search for his father, King Sander (a.k.a. King Thunder).

★ DESCRIPTION
This replacement cover is restored and reproduced (on professional software, such as Adobe Indesign and Photoshop) for your Consoles

★ DIMENSION
(original jacket dimension)

★ IMPRESSION
Printed in high definition in 300ppp and on a professional digital printer.

★ MATTER
Printed on 120g/m2 semi-gloss paper.

★ SEND
Covers are sent in a sturdy cardboard envelope
Covers Are Folded Ready To Put Into Your CaseThe items we sell are not official Sega products or its affiliates.",7.49,EUR,3,"SEGA_Cover,Sega_Master_System_Cover,Replacement_Game_Cover_SEGA,Sent_Sturdy_Cardboard_Envelope,Sends_Fast_Worldwide,restored_original_visual,Classicgamecover,sega_megadrive_covers,Sega_Replacement_Game_Covers,High_Quality_Print,boite_repro_megadrive,megadrive_reproduction_box,Alex_Kidd_Sega_Cover",paper,https://i.etsystatic.com/37233584/r/il/406b1f/4524903732/il_fullxfull.4524903732_t1mj.jpg,,,,,,,,,,,,,,,,MS-AKIMW-PAL
"Replacement Cover - Super Hang On (Pal Version) - High Quality Print 300 dpi","Super Hang-On is a motorcycle racing arcade video game released by Sega as the sequel to Hang-On. It uses a simulated motorcycle arcade cabinet, like the original game. An updated version was released in arcades 1991 as Limited Edition Hang-On.

 ★ DESCRIPTION
This replacement cover is restored and reproduced (on professional software, such as Adobe Indesign and Photoshop) for your Consoles

★ DIMENSION
(original jacket dimension)

★ IMPRESSION
Printed in high definition in 300ppp and on a professional digital printer.

★ MATTER
Printed on 120g/m2 semi-gloss paper.

★ SEND
Covers are sent in a sturdy cardboard envelope
Covers Are Folded Ready To Put Into Your Case
The items we sell are not official Sega products or its affiliates.",7.49,EUR,4,"Super_Hang_On_Megadrive_Cover,sega_megadrive_covers,Sega_Replacement_Game_Covers,High_Quality_Print,Sends_Fast_Worldwide,Sent_Sturdy_Cardboard_Envelope,boite_repro_megadrive,megadrive_reproduction_box,restored_original_visual,classic_game_cover,print_cover,megadrive_cover,sega_game_cover",paper,https://i.etsystatic.com/37233584/r/il/e2dbb7/5212005858/il_fullxfull.5212005858_89zh.jpg,https://i.etsystatic.com/37233584/r/il/439f32/5212006458/il_fullxfull.5212006458_iivu.jpg,,,,,,,,,,,,,,,MD-Super-Hang-On
"Black Template For Sega Megadrive Game Cover (PAL Version), Transparent Background PNG, 600 DPI High Resolution for Print","Yes it's true we sell printed visuals but we will explain to you in 7 points why it is much better to have a digital file.

1 - Instant Gratification: No need to wait for a physical delivery! As soon as you make a purchase, you receive your visual and can use it immediately.

2 - Flexibility of Use: With a digital file, you have the freedom to use it in multiple ways – be it as a wallpaper, printing it yourself in a specific format, or incorporating it into a personal project.

3 - Cost Savings: Digital purchase eliminates manufacturing, packaging, and shipping costs. This often translates to lower prices for the end consumer.

4 - Easy Archiving: You can back up your digital files on multiple devices or the cloud, ensuring their longevity. No worries about degradation like with a paper print!

5 - Cost Savings: Digital purchase eliminates manufacturing, packaging, and shipping costs. This often translates to lower prices for the end consumer.

6 - Customization: With a digital file, you can often modify and adapt it to your needs, whether it's to change size, colors, or even add personal elements.

7 - Reprint at Will: You can always reprint it. No need to repurchase the design!

8 - No Shipping Fees: Besides avoiding the wait associated with delivery, you also save on shipping charges.

*****************************************************************************************************************
★ DESCRIPTION
Sega MegaDrive PAL Black Sega Games Cover Template, Transparent Background PNG

★ DIMENSION
(original jacket dimension)

★ RESOLUTION 
600 DPI High Resolution for PrintThe items we sell are not official Sega products or its affiliates.",2.99,EUR,80,"Black_Template_Megadrive_Cover,PNG_Cover_MD_Template,sega_megadrive_covers,boite_repro_megadrive,classic_game_cover",Digital,https://i.etsystatic.com/37233584/r/il/b350c9/4906929413/il_fullxfull.4906929413_76th.jpg,https://i.etsystatic.com/37233584/r/il/974d01/4907046455/il_fullxfull.4907046455_kvjy.jpg,https://i.etsystatic.com/37233584/r/il/af56b5/4907048523/il_fullxfull.4907048523_65yb.jpg,,,,,,,,,,,,,,MD-Black-Template
"Replacement Cover - X-Men 2 (PAL Version) - SEGA Megadrive Replacement Classic Reproduction Game Cover - High Quality Print","X-Men 2: Clone Wars is the sequel to the Sega Mega Drive game X-Men, released in 1995 by Headgames and Sega under license from Marvel Comics.

★ DESCRIPTION
This replacement cover is restored and reproduced (on professional software, such as Adobe Indesign and Photoshop) for your Consoles

★ DIMENSION
(original jacket dimension)

★ IMPRESSION
Printed in high definition in 300ppp and on a professional digital printer.

★ MATTER
Printed on 120g/m2 semi-gloss paper.

★ SEND
Covers are sent in a sturdy cardboard envelope
Covers Are Folded Ready To Put Into Your Case
The items we sell are not official Sega products or its affiliates.",7.49,EUR,4,"segacover,paper,sega_megadrive_covers,sega_covers,Sega_Replacement_Game_Covers,High_Quality_Print,Sends_Fast_Worldwide,Sent_Sturdy_Cardboard_Envelope,boite_repro_megadrive,megadrive_reproduction_box,restored_original_visual,classic_game_cover,XMEN_2_Sega_Cover",paper,https://i.etsystatic.com/37233584/r/il/a5b2e8/5600330721/il_fullxfull.5600330721_oh8w.jpg,https://i.etsystatic.com/37233584/r/il/8573bd/5554792181/il_fullxfull.5554792181_kjtf.jpg,,,,,,,,,,,,,,,MD-Xmen2-PAL
"Replacement Cover - Samurai Shodown (PAL Version) - Sega Megadrive Classic Reproduction Game Cover - High Quality Print","Samurai Shodown, known in Japan as Samurai Spirits, is a fighting game developed and published by SNK for the Neo Geo arcade and home platform.[3] Released in 1993, it is the first installment in the Samurai Shodown series. In contrast to other fighting games at the time, which were set in modern times and focused primarily on hand-to-hand combat, Samurai Shodown is set in feudal-era Japan (similar to Kaneko's Shogun Warriors which was released the year prior) and was SNK's first arcade fighting game to focus primarily on weapon-based combat.
The items we sell are not official Sega products or its affiliates.",7.49,EUR,2,Samurai_Shodown_Sega_Cover,paper,https://i.etsystatic.com/37233584/r/il/140ca0/5361698654/il_fullxfull.5361698654_ou8u.jpg,https://i.etsystatic.com/37233584/r/il/1282e6/5361700052/il_fullxfull.5361700052_dieb.jpg,,,,,,,,,,,,,,,MD-Samurai-Shodown-PAL
"Replacement Cover - Golden Axe (PAL Version) - SEGA Megadrive Classic Reproduction Game Cover - High Quality Print","Golden Axe is a side-scrolling hack-and-slash video game released by Sega for arcades in 1989, running on the Sega System 16B arcade hardware. Makoto Uchida was the lead designer of the game, and was also responsible for the creation of the previous year's Altered Beast. The game casts players as one of three warriors who must free the fantastical land of Yuria from the tyrannical rule of Death Adder, who wields the titular Golden Axe.

The game was well received at the time of release, Golden Axe was later converted for play on many different home systems, including Sega's own Mega Drive/Genesis and Master System. The game's success spawned an entire franchise consisting of several sequels and various spin-offs.

 ★ DESCRIPTION
This replacement cover is restored and reproduced (on professional software, such as Adobe Indesign and Photoshop) for your Consoles

★ DIMENSION
(original jacket dimension)

★ IMPRESSION
Printed in high definition in 300ppp and on a professional digital printer.

★ MATTER
Printed on 120g/m2 semi-gloss paper.

★ SEND
Covers are sent in a sturdy cardboard envelope
Covers Are Folded Ready To Put Into Your Case
The items we sell are not official Sega products or its affiliates.",7.49,EUR,4,"segacover,megadrivecover,cover,paper,sega_megadrive_covers,sega_covers,Sega_Replacement_Game_Covers,High_Quality_Print,Sends_Fast_Worldwide,Sent_Sturdy_Cardboard_Envelope,boite_repro_megadrive,megadrive_reproduction_box,restored_original_visual",paper,https://i.etsystatic.com/37233584/r/il/7e23db/4392263116/il_fullxfull.4392263116_e94s.jpg,https://i.etsystatic.com/37233584/r/il/d3d616/4803969045/il_fullxfull.4803969045_ocq6.jpg,https://i.etsystatic.com/37233584/r/il/089f20/4809802405/il_fullxfull.4809802405_8nq6.jpg,https://i.etsystatic.com/37233584/r/il/d29a08/4809803489/il_fullxfull.4809803489_1pm5.jpg,https://i.etsystatic.com/37233584/r/il/703c71/4809804281/il_fullxfull.4809804281_1wkn.jpg,https://i.etsystatic.com/37233584/r/il/c6428f/4813140587/il_fullxfull.4813140587_s5py.jpg,,,,,,,,,,,MD-GLDA
"Replacement Cover - Golden Axe II - SEGA Megadrive Classic Reproduction Game Cover - High Quality Print","Golden Axe II is a side-scrolling beat 'em up video game developed and published by Sega, first released on the Sega Mega Drive in December 1991.It is the home console sequel to the popular game Golden Axe, marking the second game in the series, though the arcade did see a sequel of its own in 1992, titled Golden Axe: The Revenge of Death Adder. Golden Axe II was only released on the Mega Drive, while the original was released on many other platforms. 

 ★ DESCRIPTION
This replacement cover is restored and reproduced (on professional software, such as Adobe Indesign and Photoshop) for your Consoles

★ DIMENSION
(original jacket dimension)

★ IMPRESSION
Printed in high definition in 300ppp and on a professional digital printer.

★ MATTER
Printed on 120g/m2 semi-gloss paper.

★ SEND
Covers are sent in a sturdy cardboard envelope
Covers Are Folded Ready To Put Into Your Case
The items we sell are not official Sega products or its affiliates.",7.49,EUR,4,"paper,sega_megadrive_covers,sega_covers,Sega_Replacement_Game_Covers,High_Quality_Print,Sends_Fast_Worldwide,Sent_Sturdy_Cardboard_Envelope,boite_repro_megadrive,megadrive_reproduction_box,restored_original_visual,classic_game_cover",,https://i.etsystatic.com/37233584/r/il/8c3a02/4472834677/il_fullxfull.4472834677_edj8.jpg,https://i.etsystatic.com/37233584/r/il/78d703/4755718762/il_fullxfull.4755718762_d41u.jpg,https://i.etsystatic.com/37233584/r/il/c5025b/4758243304/il_fullxfull.4758243304_98fo.jpg,https://i.etsystatic.com/37233584/r/il/d75337/4758243378/il_fullxfull.4758243378_jiwn.jpg,https://i.etsystatic.com/37233584/r/il/ec6211/4758243456/il_fullxfull.4758243456_g18b.jpg,https://i.etsystatic.com/37233584/r/il/05e441/4816661649/il_fullxfull.4816661649_ub5i.jpg,,,,,,,,,,,MD-GAII-PAL
"Replacement Cover - Castlevania Symphony Of The Night (PAL Hack Version) - SEGA Megadrive Replacement Custom Game Cover - High Quality Print","Castlevania: Symphony of the Night — titre original japonais : Akumajô Dracula X Gekka no Yasôkyoku : 悪魔城ドラキュラX 月下の夜想曲 — est un jeu vidéo de type metroidvania développé et édité par Konami en 1997 sorti sur PlayStation puis l’année suivante sur Saturn. Le jeu a été conçu par Koji Igarashi et Ayami Kojima. Cet épisode est souvent mentionné pour être l'un des meilleurs de la série Castlevania, avec l'épisode Akumajō Dracula X: Chi no Rondo, dont il constitue la suite directe

★ DESCRIPTION
This replacement cover is restored and reproduced (on professional software, such as Adobe Indesign and Photoshop) for your Consoles

★ DIMENSION
(original jacket dimension)

★ IMPRESSION
Printed in high definition in 300ppp and on a professional digital printer.

★ MATTER
Printed on 120g/m2 semi-gloss paper.

★ SEND
Covers are sent in a sturdy cardboard envelope
Covers Are Folded Ready To Put Into Your Case

The items we sell are not official Sega products or its affiliates.",9.99,EUR,4,"segacover,paper,sega_megadrive_covers,sega_covers,Sega_Replacement_Game_Covers,High_Quality_Print,Sends_Fast_Worldwide,Sent_Sturdy_Cardboard_Envelope,boite_repro_megadrive,megadrive_reproduction_box,restored_original_visual,classic_game_cover,Castlevania_SOTN_Megadrive",paper,https://i.etsystatic.com/37233584/r/il/9caa27/6825995738/il_fullxfull.6825995738_rhjy.jpg,https://i.etsystatic.com/37233584/r/il/43502d/6825997956/il_fullxfull.6825997956_iluc.jpg,,,,,,,,,,,,,,,MD-Castlevania-SOTN-PAL
"Black Template For Sega Genesis Game Cover (US Version), Transparent Background PNG, 600 DPI High Resolution for Print","Yes it's true we sell printed visuals but we will explain to you in 7 points why it is much better to have a digital file.

1 - Instant Gratification: No need to wait for a physical delivery! As soon as you make a purchase, you receive your visual and can use it immediately.

2 - Flexibility of Use: With a digital file, you have the freedom to use it in multiple ways – be it as a wallpaper, printing it yourself in a specific format, or incorporating it into a personal project.

3 - Cost Savings: Digital purchase eliminates manufacturing, packaging, and shipping costs. This often translates to lower prices for the end consumer.

4 - Easy Archiving: You can back up your digital files on multiple devices or the cloud, ensuring their longevity. No worries about degradation like with a paper print!

5 - Cost Savings: Digital purchase eliminates manufacturing, packaging, and shipping costs. This often translates to lower prices for the end consumer.

6 - Customization: With a digital file, you can often modify and adapt it to your needs, whether it's to change size, colors, or even add personal elements.

7 - Reprint at Will: You can always reprint it. No need to repurchase the design!

8 - No Shipping Fees: Besides avoiding the wait associated with delivery, you also save on shipping charges.

*****************************************************************************************************************
★ DESCRIPTION
Sega Genesis Black Sega Games Cover Template, Transparent Background PNG

★ DIMENSION
(original jacket dimension)

★ RESOLUTION 
600 DPI High Resolution for PrintThe items we sell are not official Sega products or its affiliates.",2.99,EUR,98,"PNG_Cover_MD_Template,sega_megadrive_covers,boite_repro_megadrive,classic_game_cover,Black_Genesis_Template",Digital,https://i.etsystatic.com/37233584/r/il/f89714/6842533206/il_fullxfull.6842533206_1gie.jpg,,,,,,,,,,,,,,,,GN-Black-Template
